Iter,N,h,Result,Error
1,103,0.115,4.731606,
2,206,0.0575,4.713888992187499,0.005905669270833691
3,412,0.02875,4.709443534667968,0.0014818191731770607
4,824,0.014375,4.708331157440186,0.0003707924092607821
5,1648,0.0071875,4.7080529998302465,9.271920331303345e-05
6,3296,0.00359375,4.707983456471325,2.3181119640428943e-05
7,6592,0.001796875,4.707966070384316,5.795362336395253e-06
8,13184,0.0008984375,4.707961723847109,1.4488457355336475e-06
9,26368,0.00044921875,4.707960637211841,3.622117559961187e-07
