iter,N,h,result,error
1,2,0.5,1.7188611518765928,
2,4,0.25,1.718318841921747,3.615399698972214e-05
3,8,0.125,1.718284154699897,2.3124814566640357e-06
4,16,0.0625,1.7182819740518918,1.45376533685256e-07
