Iter,N,h,Result,Error
1,104,0.11389423076923078,4.708408767089605,
2,208,0.05694711538461539,4.707983951711861,2.8321025182916535e-05
3,416,0.028473557692307694,4.707962128852285,1.4548573050869133e-06
4,832,0.014236778846153847,4.7079602740963855,1.2365039327259336e-07
