Iter,N,h,Result,Error
1,108,0.10967592592592593,4.708058714836926,
2,216,0.05483796296296296,4.707952215368522,0.00010649946840413094
3,432,0.02741898148148148,4.707952636268403,4.2089988117055555e-07
