x,y
0.0,0.5
0.1,0.657414375
0.2,0.8292982759973958
0.30000000000000004,1.0150700584326053
0.4,1.2140869057030113
0.5,1.4256383956482184
0.6,1.6489393904172045
0.7,1.883122178556874
0.7999999999999999,2.127227790677516
0.8999999999999999,2.3801964017795627
0.9999999999999999,2.640856724185054
1.0999999999999999,2.9079142849148663
1.2,3.1799384701879334
1.3,3.455348207379657
1.4000000000000001,3.732396141139948
1.5000000000000002,4.009151145300421
1.6000000000000003,4.283478995544287
1.7000000000000004,4.5530210094048424
1.8000000000000005,4.815170439814791
1.9000000000000006,5.067046385945479
2.0000000000000004,5.3054649602273525
