x,u_FDM
0.0,-0.1051037105837508
0.05,-0.11035889611293835
0.1,-0.11551002393405421
0.15000000000000002,-0.12046667946075172
0.2,-0.12514957662346368
0.25,-0.12948857916039855
0.30000000000000004,-0.13342112783149365
0.35000000000000003,-0.13689097868072003
0.4,-0.13984718218757589
0.45,-0.14224325080329212
0.5,-0.14403647514526088
0.55,-0.14518735848445238
0.6000000000000001,-0.14565914609618458
0.65,-0.1454174312369345
0.7000000000000001,-0.14442982343503058
0.75,-0.1426656677772906
0.8,-0.1400958061772014
0.8500000000000001,-0.13669237339653553
0.9,-0.13242862198788277
0.9500000000000001,-0.12727877142359484
1.0,-0.12121787754628079
