t,x,y
0.0,2.0,1.0
0.1,2.06,1.05
0.2,2.115414,1.10565
0.30000000000000004,2.16526026163104,1.167312874455
0.4,2.208525958790773,1.235324039729636
0.5,2.244190425100264,1.3099700982062132
0.6000000000000001,2.2712544433910717,1.3914627108740043
0.7000000000000001,2.2887756270196635,1.4799078685745826
0.8,2.295909398021831,1.5752713281372597
0.9,2.291954325849531,1.67734177406563
1.0,2.276399675366788,1.785694222112241
1.1,2.248972000707334,1.8996571983826616
1.2000000000000002,2.2096766576731746,2.0182881309687657
1.3,2.15882940555281,2.1403619329933523
1.4000000000000001,2.097073088111701,2.2643776503172797
1.5,2.025374969963949,2.3885870393915143
1.6,1.9450018091125858,2.511046907580132
1.7000000000000002,1.857472130748836,2.629694101101621
1.8,1.7644881413990898,2.7424385713060837
1.9000000000000001,1.6678527546483664,2.847266659620032
2.0,1.5693796249280354,2.9423444037123163
2.1,1.4708052955140893,3.0261099513620575
2.2,1.3737122158288155,3.0973453808575147
2.3000000000000003,1.2794695255762778,3.155221171130885
2.4000000000000004,1.1891955887193686,3.1993105793200938
2.5,1.1037429847154763,3.2295753517476222
2.6,1.023703740518865,3.2463276410653137
2.7,0.9494305336318111,3.2501751464674653
2.8000000000000003,0.8810686274276955,3.241957165329465
2.9000000000000004,0.8185933334162812,3.2226786445548026
3.0,0.7618485535939945,3.1934478750358415
3.1,0.7105830945385678,3.155421663512743
3.2,0.6644826561383385,3.109760044848752
3.3000000000000003,0.6231964690213868,3.057591123334013
3.4000000000000004,0.5863583779448737,2.999985566755957
3.5,0.5536027207264468,2.937939621957212
3.6,0.5245756646728572,2.8723652092616283
3.7,0.4989427904188928,2.8040855932401274
3.8000000000000003,0.47639371585643986,2.7338352281013534
3.9000000000000004,0.4566444815742867,2.662262562839008
4.0,0.43943831251508036,2.5899348100881703
4.1000000000000005,0.42454525433806684,2.5173438987072223
4.2,0.41176107275541185,2.444913024058513
4.3,0.40090570774158557,2.373003373334588
4.4,0.39182149480775263,2.301920734510852
4.5,0.38437130229434396,2.2319217989415594
4.6000000000000005,0.3784366851195888,2.1632200434183964
4.7,0.3739161192643291,2.095991132368252
4.800000000000001,0.3707233550369259,2.0303778192612185
4.9,0.36878590862346633,1.9664943521556113
5.0,0.3680436986986895,1.9044304048709617
5.1000000000000005,0.3684478264208928,1.8442545651335611
5.2,0.3699594917605258,1.7860174161713966
5.300000000000001,0.37254903590303046,1.7297542501409378
5.4,0.37619509773985194,1.6754874515458495
5.5,0.38088387171839283,1.6232285872483665
5.6000000000000005,0.38660845420312345,1.572980237335705
5.7,0.3933682657524016,1.5247375983713407
5.800000000000001,0.4011685371626904,1.4784898876927144
5.9,0.4100198476540911,1.4342215745808544
6.0,0.4199377040892047,1.3919134614274042
6.1000000000000005,0.43094215058083396,1.3515436355201682
6.2,0.4430573982227,1.3130883097889048
6.300000000000001,0.4563114649551856,1.2765225688080453
6.4,0.4707358157491509,1.2418210345387009
6.5,0.48636499335637434,1.2089584646971674
6.6000000000000005,0.5032362298418578,1.1779102952448375
6.7,0.521389028992243,1.1486531372861417
6.800000000000001,0.5408647095010068,1.1211652376167605
6.9,0.5617058985839606,1.0954269112632333
7.0,0.5839559654011082,1.07142095357628
7.1000000000000005,0.607658383381113,1.0491330387622966
7.2,0.6328560102959903,1.0285521111384823
7.300000000000001,0.6595902747560808,1.009670774853389
7.4,0.6879002577362242,0.9924856873006562
7.5,0.7178216578592292,0.9769979609403052
7.6000000000000005,0.7493856295178716,0.9632135776956527
7.7,0.7826174835882989,0.951143819474951
7.800000000000001,0.8175352415645455,0.9408057176276059
7.9,0.8541480355277006,0.9322225232275251
8.0,0.892454348570039,0.9254241989106222
8.1,0.9324400932547408,0.9204479314945776
8.200000000000001,0.9740765295511788,0.9173386626737956
8.3,1.0173180286040515,0.9161496325881263
8.4,1.0620996948446844,0.916942927865264
8.5,1.1083348665174766,0.9197900216657852
8.6,1.1559125238614885,0.9247722881268486
8.700000000000001,1.2046946451411455,0.9319814671987997
8.8,1.2545135636296836,0.9415200479841188
8.9,1.3051693936480762,0.9535015291161802
9.0,1.356427610921773,0.9680505032903252
9.1,1.408016891805755,0.9853024996972947
9.200000000000001,1.4596273371546158,1.0054035028680413
9.3,1.5109092293535265,1.0285090496074993
9.4,1.5614724945191427,1.0547827879034042
9.5,1.6108870649094895,1.0843943640584033
9.600000000000001,1.6586843573253898,1.117516488571605
9.700000000000001,1.7043600991532233,1.1543210200753706
9.8,1.7473787411811743,1.1949739034831175
9.9,1.7871796908873385,1.2396288080695959
